idFICHA,TITULACION,PREGUNTA,RESPUESTA
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,El instructor acompaña y orienta la solución de sus dificultades académicas y personales.,NUNCA
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,El instructor aplica estrategias participativas de trabajo en equipo que le permiten estar activo permanentemente en su proceso de aprendizaje.,NUNCA
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,El instructor demuestra dominio técnico.,NO
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,El instructor desarrolla la totalidad de los resultados de aprendizaje programados.,NO
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,El instructor es puntual al iniciar las sesiones.,NUNCA
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,"El instructor establece relaciones interpersonales cordiales, armoniosas y respetuosas.",NUNCA
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,El instructor incentiva al aprendiz a utilizar la plataforma Territorium en el desarrollo de las actividades de aprendizaje.,NUNCA
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,"El instructor le da a conocer el proyecto formativo, la planeación pedagógica y las guiás de aprendizaje.",NUNCA
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,El instructor le orienta su formación mediante un proyecto formativo.,NUNCA
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,"El instructor le propone fuentes de consulta (Bibliografía,  Webgrafia...) y ayudas que facilitan su proceso de aprendizaje.",NUNCA
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,El instructor revisa y asesora los planes de mejoramiento.,NUNCA
3147246,ANALISIS Y DESARROLLO DE SOFTWARE,"El instructor se preocupa por su mejoramiento continuo a nivel personal, social y laboral.",NUNCA
